Publication Number,Title,Abstract,Claims
US6118254,Battery charge control architecture for constant voltage maximum power operation,A circuit and method for charging batteries while a power supply also powers a dynamically varying load. All power in excess of that required by the load is used by a power converter to charge the batteries. The circuit advantageously allows the load to change from external power to battery power without switching delays.,"1. A charging circuit, comprising: 
    * a first regulator functionally connected to drive a power bus up to a first set point; and
    * a second regulator functionally connected to draw power from said power bus and supply power to an output;
    * wherein said first regulator attempts to hold said power bus at said first set point; and
    * wherein said second regulator is powered from said power bus, and is controlled not to pull the voltage of said power bus below a second set point which is lower than said first set point;
    * whereby said first regulator is operated at approximately maximum output power."
US6175317,Two-dimensional DC-free encoder and decoder,"A message is encoded into an array, which is an element of a constrained array set. The message is encoded by considering candidates for each entry (e.g., column, bit) of the array. The candidates have a predetermined ordering. For each candidate that is considered, a lower bound is determined. The lower bound indicates a number of set elements including both the candidate being considered and previously selected candidates of the array. An entry is filled with a candidate based upon the value of the lower bound relative to an intermediate message. The intermediate message is initially equal to the message being encoded, and is updated after each column of the array has been filled.","1. A method of encoding a message into a corresponding array for storage on a data storage medium, the corresponding array being an element of a constrained array set, the method comprising: 
a) considering a predetermined ordering of candidates for a j  th  column of the corresponding array, where j is a positive integer; 
b) for each candidate being considered, computing a lower bound on the number of constrained arrays having that candidate as the j  th  column and also having previously selected columns of the corresponding array as the first j-1 columns; 
c) determining an index range for each candidate being considered, upper and lower limits of each index range being based upon the lower bounds of the candidates being considered;  
d) determining the range in which an intermediate message lies; and  
e) selecting a candidate corresponding to the determined range as the j  th column of the corresponding array."
US6179432,Lighting system for a keyboard,"An illuminated keyboard that may be used for providing inputs to a computer. The keyboard includes a keyboard base pan and a plurality of input keys having keycaps that may be pressed by a user. An electroluminescent lamp, in the form a flat panel, is sandwiched between the keyboard base pan and the keycaps to illuminate the keyboard during use.","1. A keyboard suitable for use in providing inputs to a computer, comprising: 
a keyboard base pan;  
a plurality of input keys extending from the keyboard base pan, each input key having a hollow keycap including an upper strike surface; and  
an illumination panel having openings above which the keycaps extend, said illumination panel disposed between the keycaps and the keyboard base pan to illuminate the plurality of input keys,  
each said keycap incorporating a symbol defined by a light transmitting portion at said strike surface."
US6217351,Adaptor module configured to be attached to a communication card,"An adaptor module allows an electrical connection to be established between a communication system and a communication card. Advantageously, the adaptor module can be configured to provide an interface between the communication card and various communication systems such as conventional telephone systems, cellular telephone systems, digital telephone systems, local area networks (LANs), personal area networks (PANs) and wireless systems. In addition, the adaptor module can provide an interface between a plurality of communication systems and the communication card. For example, the adaptor module may provide an interface for a plurality of connectors from the same type of communication system and/or the adaptor module may provide an interface for connector, from different types of communication systems. Advantageously, the adaptor module can provide simultaneous communication with these various communication systems. The adaptor module is preferably configured to be attached to a standard PC card to facilitate communication between a computer and a communication system.","1. A system that facilitates communication between an electrical device and a communication system, the system comprising: 
a communication card including an elongated body having an outer surface with an upper surface, lower surface, front surface, rear surface, left surface and right surface, said communication card being sized and configured to be inserted into an opening in the electrical device;  
a first communication port located in said generally planar outer surface of said communication card, said first communication port being aligned with the generally planar outer surface of the communication card such that the communication port does not protrude beyond the generally planar outer surface;  
an adaptor module including an elongated body that is sized and configured to be inserted into an opening in the electrical device, said elongated body of said adaptor module having dimensions generally the same or smaller than dimensions of said elongated body of said communication card; and  
a second communication port located in a generally planar outer surface of said adaptor module, the second communication port being aligned with the generally planar outer surface of the adaptor module such that the communication port does not protrude beyond the generally planar outer surface, said second communication port being sized and configured to be coupled to said first communication port to allow electrical communication between said adaptor module and said communication card."
US6239977,Technique for mounting electronic components on printed circuit boards,"A PCMCIA (Personal Computer Memory Card International Association) modem card includes a PCB (printed circuit board) sealed in a slender enclosure, typically the size of a credit card. The PCB contains a hole for receiving a drop-in electronic component, such as a resetting fuse. The fuse comprises a block of positive-temperature-coefficient material sandwiched between a pair of parallel contacts. Each contact includes a tab for surface mounting the fuse to an array of conductive films located on the surface of the PCB. The tabs lie in a common plane and in a plane parallel to the planes of the contacts.","1. A printed circuit board assembly comprising: 
a printed circuit board having extended upper and lower surfaces, a hole formed therein, and an array of conductive films deposited thereon;  
a first electronic component mounted in said hole, said first electronic component having a component body with broad upper and lower major faces and a pair of opposed conductive contacts, each said conductive contact including a relatively broad layer of conductive material deposited on respective ones of said major faces, said body extending through said hole such that said conductive contacts are respectively located above said upper surface and below said lower surface, a pair of conductive tabs joined to said conductive contacts, and each of said conductive tabs connecting a different one of said conductive contacts to said array of conductive films; and  
a set of other electronic components mounted on said printed circuit board and connected to said array of conductive films."
US6246211,Smart charger,"A smart charger that includes a housing with an interface for power and data transmission and adapted for connection to a communication device, with a second interface adapted for connection to a power source, and with a third interface adapted for connection to a second communication device. A charger within the housing is connected to the second interface to receive power, and connected to the first interface to provide charging power. A control module within the housing provides for communication between the first interface and the third interface.","1. A smart charger, comprising: 
a housing with a first interface for power transmission and data transmission of a graphic image data file and adapted for connection to a graphic image device, with a second interface adapted for connection to a power source, and with a third interface adapted for connection to a communication device where said third interface comprises at least one of a fax/modem port and standard PC I/O port;  
a charger disposed within said housing and connected to said second interface to receive power, and connected to said first interface to provide charging power; and  
a control module disposed within said housing and connected to receive information from said first interface and to communicate information to said third interface wherein said first interface includes a data interface and control module to translate data received at said first interface from a first data protocol to one of RS232, USB, ethernet, and modem protocols for communication to said third interface."
US6249757,System for detecting voice activity,"A system for detection of voice activity in a communications signal, employing a nonlinear two filter voice detection algorithm, in which one filter has a low time constant (the fast filter) and one filter has a high time constant (the slow filter). The slow filter serves to provide a noise floor estimate for the incoming signal, and the fast filter serves to more closely represent the total energy in the signal. The absolute value of incoming data is presented to both filters, and the difference in filter outputs is integrated over each of a series of successive frames, thereby giving an indication of the energy level above the noise floor in each frame of the incoming signal. Voice activity is detected if the measured energy level for a frame exceeds a specified threshold level. Silence (e.g., leaving only noise) is detected if the measured energy level for each of a specified number of successive frames does not exceed a specified threshold level. The system enables voice activity to be distinguished from common noise such as pops, clicks and low level cross-talk.","1. A method for detecting voice activity in a communications signal comprising, in combination: 
 passing a representation of said communications signal through a first filter and a second filter, whereby the first filter provides a first output that represents a noise floor estimate for said communications signal, and whereby the second filter provides a second output that represents an energy level estimate for said communications signal;  
integrating a difference between said first output and said second output over blocks of time, thereby establishing a reference value for each such block;  
for each such block, determining whether said reference value represents voice activity;  
outputting speech-indicia in response to a determination that said reference value represents voice activity; and  
outputting silence-indicia in response to a determination that the reference values established for each of a predetermined number of blocks do not represent voice activity."
US6265706,Edge to edge image sensor and navigator for portable scanner,"A portable scanner may comprise a first image detector and a second image detector placed in spaced apart relation to the first image detector. A plurality of position detectors is located between the first image detector and the second image detector for detecting a position of the portable scanner. 

A portable scanner may also comprise an image detector having a first side and a second side opposite said first side. A first plurality of position detectors is located adjacent the first side of the image detector. A second plurality of position detectors is located adjacent the second side of the image detector.","1. A portable scanner, comprising: 
a first image detector;  
a second image detector placed in spaced apart relation to said first image detector; and  
a plurality of position detectors located between said first image detector and said second image detector for detecting a position of said portable scanner."
US6282711,Method for more efficiently installing software components from a remote server source,"This invention includes a method for more efficiently installing a subset of software components and data files contained in a component pool in a distributed processing network such as the Internet. An installation package delivered to a requesting end user is custom configured at a remote server location prior to delivery to a client system operated by the user, in response to the user's inputs. The delivered installation package contains only the programs, data, and local installation tools required for the user's unique installation requirements. The user initiates the installation process by connecting to the remote server system via a telecommunications link within a distributed processing network, such as the Internet. Engaging in a dialog with the server which provides informational links to server-side databases, the user chooses all software components and options that he desires his software package to have. Such a package may be, for example, a subset of a software suite. After selection of all options, a single package is manufactured on the server. A single download then occurs of a single file. This is no bigger or smaller than what is absolutely required by the components and options selected. Upon receipt of the downloaded file, the user executes the file to unpack the installation directory. An auto-start feature can also be included which immediately launches the installation of the selected applications and options.","1. A process for installing, on a local client data processing system, a subset of a pool of software components and data files available on a server data processing system at a remote location in a distributed processing network, said process comprising the steps of: 
connecting to the remote server system via a telecommunications link;  
selecting specific components from said pool;  
accessing the component pool and producing a custom set of files at the server location, which include only those required to implement the selected components on the client system;  
subjecting said custom set to a packaging process which produces a custom installation package which includes a client installer program;  
transmitting the custom installation package to the client system."
US6307742,Computer with readily accessible motherboard,"A tower computer including a motherboard enclosure electrically shieldingly and physically enclosing a motherboard assembly mounted on a fixed wall portion of the enclosure; a panel having an open state and a closed state provided on the enclosure for enabling access to the motherboard assembly; and a computer component mounted in the enclosure in spaced relationship from the motherboard assembly and having a normal operating position in which it is located between the panel and the motherboard assembly in access interfering relationship with said motherboard assembly and a displaced operating position in access non-interfering relationship with the motherboard assembly, said computer component being readily-displaceable between the normal operating position and the displaced position when the panel means is in the open state.","1. A tower computer comprising: 
a housing comprising:  
a laterally and longitudinally extending base portion;  
a laterally and longitudinally extending top portion;  
a vertically and laterally extending front portion extending between said top and base portions;  
a vertically and laterally extending rear portion extending between said top and said base portions;  
a vertically and longitudinally extending first lateral side portion having a height and a length and having an inside surface and an outside surface and extending between said top and base portions and between said front and rear portions;  
a vertically and longitudinally extending second lateral side portion having a height and a length and having an inside surface and an outside surface and extending between said top and base portions and between said front and rear portions;  
a generally flat motherboard substrate having on one side a first flat surface upon which electronic components are mounted and having on an opposite side a second flat surface, said motherboard substrate having a length substantially the same as said length of said first lateral side portion and being mounted with said inside surface of said first lateral side portion positioned in fixed, next adjacent relationship with said second flat surface of said motherboard substrate;  
said second lateral side portion comprising an opening therein positioned opposite said motherboard substrate and being substantially coextensive therewith and a closure member displaceably, openably, and closeably associated with said opening;  
a motherboard chamber being defined by a space positioned between said motherboard substrate first flat surface and said opening, said motherboard chamber being substantially free of computer components other than components mounted on said motherboard substrate, said motherboard substrate and components mounted thereon being readily-accessible through said opening."
